Theta1,Theta2,Omega1,Omega2
39,-61,-5.133151468127068,36.3871250910867
39,-62,-4.874901183779141,35.834090016884524
39,-63,-4.621400472018588,35.30057117950086
39,-64,-4.3723691793007164,34.785722905452005
39,-65,-4.127542300714365,34.28875425105366
39,-66,-3.886668747015949,33.80892497233184
39,-67,-3.6495102175532423,33.345541862070476
39,-68,-3.415840167902641,32.89795541658477
39,-69,-3.1854428623197864,32.465556799174365
39,-70,-2.9581125022138917,32.04777507101597
39,-71,-2.733652422824223,31.644074663581222
39,-72,-2.5118743511222967,31.2539530695778
39,-73,-2.2925977187023374,30.876938731968163
39,-74,-2.07564902406961,30.51258911286868
39,-75,-1.8608612393032438,30.16048892611368
